Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,3265.000000,3267.000000,3235.850098,3260.649902,3118.328857,72106
2023-01-03,3260.000000,3319.550049,3247.699951,3310.850098,3166.337646,45996
2023-01-04,3304.000000,3326.850098,3286.850098,3314.050049,3169.397949,42280
2023-01-05,3330.000000,3336.100098,3283.100098,3310.350098,3165.859375,54074
2023-01-06,3300.000000,3300.050049,3200.000000,3212.000000,3071.802246,91907
2023-01-09,3243.899902,3327.800049,3215.300049,3319.699951,3174.801025,169062
2023-01-10,3290.000000,3292.500000,3231.000000,3286.199951,3142.763672,94932
2023-01-11,3289.000000,3349.000000,3272.000000,3328.850098,3183.552246,72414
2023-01-12,3333.000000,3350.000000,3316.000000,3334.600098,3189.051025,83856
2023-01-13,3349.000000,3379.100098,3305.199951,3374.199951,3226.922363,98757
2023-01-16,3320.000000,3352.399902,3298.750000,3334.399902,3261.351074,64489
2023-01-17,3334.000000,3383.000000,3319.750000,3378.850098,3304.827637,121563
2023-01-18,3373.550049,3407.649902,3371.000000,3390.550049,3316.271484,107557
2023-01-19,3380.000000,3387.100098,3360.550049,3372.399902,3298.518555,77208
2023-01-20,3369.699951,3393.800049,3356.199951,3361.649902,3288.004395,46357
2023-01-23,3375.300049,3418.000000,3358.000000,3414.000000,3339.207764,46966
2023-01-24,3423.000000,3451.750000,3416.100098,3435.850098,3360.579102,55283
2023-01-25,3425.000000,3435.949951,3405.699951,3431.550049,3356.373047,39744
2023-01-27,3430.000000,3447.000000,3382.149902,3410.399902,3335.686523,91518
2023-01-30,3413.550049,3457.949951,3387.149902,3435.399902,3360.138428,59893
2023-01-31,3442.050049,3444.850098,3347.699951,3357.449951,3283.896240,79115
2023-02-01,3380.000000,3418.000000,3355.600098,3407.649902,3332.996826,43182
2023-02-02,3407.050049,3468.300049,3407.050049,3461.949951,3386.106934,48456
2023-02-03,3492.600098,3498.000000,3452.449951,3481.850098,3405.571045,125650
2023-02-06,3475.000000,3475.000000,3437.000000,3460.000000,3384.199707,21416
2023-02-07,3464.000000,3492.000000,3460.149902,3470.649902,3394.616699,80033
2023-02-08,3472.000000,3539.500000,3472.000000,3518.699951,3441.614014,50900
2023-02-09,3518.699951,3547.949951,3504.000000,3541.149902,3463.571777,32844
2023-02-10,3512.050049,3541.149902,3506.649902,3535.449951,3457.997070,48411
2023-02-13,3548.000000,3548.000000,3475.000000,3482.750000,3406.451660,26143
2023-02-14,3499.000000,3524.199951,3496.100098,3499.149902,3422.492188,141270
2023-02-15,3490.000000,3525.000000,3460.449951,3518.899902,3441.809326,30042
2023-02-16,3530.000000,3575.000000,3526.000000,3553.949951,3476.091553,57676
2023-02-17,3525.000000,3536.750000,3489.949951,3499.649902,3422.980957,50874
